price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,Quality,id
313000.0,3,2,1340,7912,1,0,0,3,1340,750,1955,2005,0,0, 98133,50,1
2384000.0,5,2,3650,9050,2,0,4,5,3370,280,1921,2001,1,1, 98119,80,2
342000.0,3,2,1930,11947,1,0,0,4,1930,750,1966,2001,2,2, 98042,35,3
420000.0,3,2,2000,8030,1,0,0,4,1000,1000,1963,2001,3,3, 98008,38,4
550000.0,4,2,1940,10500,1,0,0,4,1140,800,1976,1992,4,4, 98052,16,5
490000.0,2,1,880,6380,1,0,0,3,880,750,1938,1994,5,1, 98115,56,6
335000.0,2,2,1350,2560,1,0,0,3,1350,750,1976,2001,6,4, 98052,25,7
482000.0,4,2,2710,35868,2,0,0,3,2710,750,1989,2001,7,5, 98038,12,8
452500.0,3,2,2430,88426,1,0,0,4,1570,860,1985,2001,2,6, 98045,16,9
640000.0,4,2,1520,6200,1,0,0,3,1520,750,1945,2010,8,1, 98115,65,10
463000.0,3,2,1710,7320,1,0,0,3,1710,750,1948,1994,2,7, 98155,46,11
1400000.0,4,2,2920,4000,1,0,0,5,1910,1010,1909,1988,2,1, 98105,79,12
588500.0,3,2,2330,14892,1,0,0,3,1970,360,1980,2001,9,8, 98074,21,13
365000.0,3,1,1090,6435,1,0,0,4,1090,750,1955,2009,10,1, 98106,54,14
1200000.0,5,3,2910,9480,1,0,0,3,2910,750,1939,1969,11,1, 98105,30,15
242500.0,3,2,1200,9720,1,0,0,4,1200,750,1965,2001,12,2, 98042,36,16
419000.0,3,2,1570,6700,1,0,0,4,1570,750,1956,2001,13,3, 98007,45,17
367500.0,4,3,3110,7231,2,0,0,3,3110,750,1997,2001,14,9, 98092,4,18
257950.0,3,2,1370,5858,1,0,0,3,1370,750,1987,2000,15,10, 98198,13,19
275000.0,3,2,1180,10277,1,0,0,3,1180,750,1983,2009,16,6, 98045,26,20
750000.0,3,2,2240,10578,2,0,0,5,1550,690,1923,2001,17,1, 98115,78,21
435000.0,4,1,1450,8800,1,0,0,4,1450,750,1954,1979,18,3, 98006,25,22
626000.0,3,2,1750,1572,2,0,0,3,1470,280,2005,2001,19,1, 98102,-4,23
612500.0,4,2,2730,12261,2,0,0,3,2730,750,1991,2001,20,11, 98011,10,24
495000.0,4,2,1600,6380,1,0,0,3,1130,470,1959,1989,21,1, 98125,30,25
285000.0,3,2,2090,10834,1,0,0,4,1360,730,1987,2001,22,12, 98003,14,26
615000.0,3,2,2360,7291,1,0,0,4,1360,1000,1948,2001,2,1, 98136,53,27
698000.0,4,2,2200,11250,1,0,0,5,1300,900,1920,2001,23,13, 98033,81,28
675000.0,5,2,2820,67518,2,0,0,3,2820,750,1979,2014,24,14, 98029,35,29
790000.0,3,2,2600,4750,1,0,0,4,1700,900,1951,1999,25,1, 98117,48,30
382500.0,4,2,1560,8700,1,0,0,4,1560,750,1967,2001,26,13, 98034,34,31
